ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,1_Relevant_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Comments_3,Action3-PentaClass_3,Action3_CAMEO_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4,Action4-PentaClass_4,Action4_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
aaJzbryOsAyFxS4xfU30r4qUTRDu-cameo_100.csv_31,No. 70 sentences Paris police were astonished to find a car stopped in the middle of Paris's busy ringroad and its driver slumped asleep over the steering wheel on Tuesday night.,No. 70 ,Paris police were astonished to find a car stopped in the middle of Paris's busy ringroad and its driver slumped asleep over the steering wheel on Tuesday night.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
aGtAdaRpKMfLBjiBMMaTAU6z1e5y-cameo_100.csv_24,No. 77 sentences  A bill that would see a Virginia post office named in honor of a University of Virginia alumnus killed in action in Iraq is heading to President Donald Trump's desk.,No. 77 , A bill that would see a Virginia post office named in honor of a University of Virginia alumnus killed in action in Iraq is heading to President Donald Trump's desk.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
ar_b9PMZECNO4mt1gGXoC2F0cGmm-cameo_100.csv_40,"No. 61 sentences FATEHGARH SAHIB: A youth hailing from Khant village near Khamano town of Fategarh Sahib district, was found dead at a dairy farm in Verona district of Italy, his family said on Tuesday.",No. 61 ,"FATEHGARH SAHIB: A youth hailing from Khant village near Khamano town of Fategarh Sahib district, was found dead at a dairy farm in Verona district of Italy, his family said on Tuesday.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
akfq1NQ.fNhk.AAQ2N.OuYnWoQB8-cameo_100.csv_13,"No. 88 sentences In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",No. 88 ,"In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
avGardplC8_A3yarO9pu6LgwK2oS-cameo_100.csv_5,No. 96 sentences A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,No. 96 ,A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
aF2ZyB36lk9kT.AUIdISFv9HsFs8-cameo_100.csv_11,"No. 90 sentences In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",No. 90 ,"In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
aAyTnsODdKlteQvMxa0fxCpk9Mfa-cameo_100.csv_8,"No. 93 sentences KOLKO, Philip - Born August 1935, passed away June 27, 2004, after a long and courageous battle against cancer.",No. 93 ,"KOLKO, Philip - Born August 1935, passed away June 27, 2004, after a long and courageous battle against cancer.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
aHICZqfv2hlzDaE3Zc8HZDwiqbGe-cameo_100.csv_7,"No. 94 sentences ""They [messages with the proposal] were dispatched on Friday, by the end of the day,"" Peskov commented.",No. 94 ,"""They [messages with the proposal] were dispatched on Friday, by the end of the day,"" Peskov commented.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
avJ.VYEQxqLIdZoiHOAr7Zhdi6pu-cameo_100.csv_3,"No. 98 sentences Britain's left-wing Labour leader, Jeremy Corbyn, was dismissed by many as a political no-hoper but with the General Election on course for political deadlock he could conceivably become the U.K.'s next prime minister.",No. 98 ,"Britain's left-wing Labour leader, Jeremy Corbyn, was dismissed by many as a political no-hoper but with the General Election on course for political deadlock he could conceivably become the U.K.'s next prime minister.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
a.8fqHjtV2edArdVp2TSbf593zLi-cameo_100.csv_4,No. 97 sentences Enrollments on federal and state exchanges picked up after slow start in October.,No. 97 ,Enrollments on federal and state exchanges picked up after slow start in October.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
afRsmscxAqlWEy8a0E3Nlm11mqLG-cameo_100.csv_6,"No. 95 sentences Former Trump campaign adviser George Papadopoulos arrives at a closed-door hearing before the House Judiciary and Oversight Committee October 25, 2018 at the Rayburn House Office Building on Capitol Hill in Washington, DC.",No. 95 ,"Former Trump campaign adviser George Papadopoulos arrives at a closed-door hearing before the House Judiciary and Oversight Committee October 25, 2018 at the Rayburn House Office Building on Capitol Hill in Washington, DC.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,"[('Source-1', 'Former Trump campaign adviser George Papadopoulos', 0), ('Action-1', 'arrives at a closed-door hearing', 50), ('Target-1', 'House Judiciary and Oversight Committee', 94), ('Time', 'October 25, 2018', 134), ('Location', 'Rayburn House Office Building on Capitol Hill in Washington, DC', 158)]","[[('Source-1', 'Former Trump campaign adviser George Papadopoulos'), ('Action-1', 'arrives at a closed-door hearing')], [('Action-1', 'arrives at a closed-door hearing'), ('Target-1', 'House Judiciary and Oversight Committee')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,,True,"[('Source-1', 'Former Trump campaign adviser George Papadopoulos', 0), ('Action-1', 'arrives at a closed-door hearing', 50), ('Target-1', 'House Judiciary and Oversight Committee', 94), ('Time', 'October 25, 2018', 134), ('Location', 'Rayburn House Office Building on Capitol Hill in Washington, DC', 158)]","[[('Source-1', 'Former Trump campaign adviser George Papadopoulos'), ('Action-1', 'arrives at a closed-door hearing')], [('Action-1', 'arrives at a closed-door hearing'), ('Target-1', 'House Judiciary and Oversight Committee')]]",True,1-Verbal Cooperation,1-4 Consult,,,,,,
ayZ6D92MfaW3XHysU3yC_AeE861K-cameo_100.csv_14,No. 87 sentences WASHINGTON -- Lame-duck lawmakers return to Washington on Monday facing a stacked agenda and not much time to get it all done before the new Congress convenes in January and a Republican takeover is complete.,No. 87 ,WASHINGTON -- Lame-duck lawmakers return to Washington on Monday facing a stacked agenda and not much time to get it all done before the new Congress convenes in January and a Republican takeover is complete.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
aMEqNUGpLKKrysLtXufU8sf04QAC-cameo_100.csv_42,"No. 59 sentences For The First Time In 6 Weeks, Millions Of Children In Spain Can Play Outside Again",No. 59 ,"For The First Time In 6 Weeks, Millions Of Children In Spain Can Play Outside Again",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
anZouS_A7ubdO9kFslHtDoHkfLkO-cameo_100.csv_44,"No. 57 sentences MOSCOW, Sept. 24 -- President Vladimir V. Putin tonight offered the United States broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation",No. 57 ,"MOSCOW, Sept. 24 -- President Vladimir V. Putin tonight offered the United States broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation",True,"[('Location', 'MOSCOW', 0), ('Time', 'Sept. 24', 8), ('Source-1', 'President Vladimir V. Putin', 20), ('Action-1', 'offered', 56), ('Target-1', 'United States', 68)]",[],True,1-Verbal Cooperation,1-3 Express Intent to Coop,,,,,True,[],[],False,True,"[('Location', 'MOSCOW', 0), ('Time', 'Sept. 24', 8), ('Source-1', 'President Vladimir V. Putin', 20), ('Time', 'tonight', 48), ('Action-1', 'offered', 56), ('Target-1', 'United States', 68), ('Action-1', 'broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation', 82)]","[[('Source-1', 'President Vladimir V. Putin'), ('Action-1', 'offered')], [('Source-1', 'President Vladimir V. Putin'), ('Action-1', 'broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation')], [('Action-1', 'offered'), ('Target-1', 'United States')], [('Action-1', 'broad support for antiterrorist operations in Afghanistan, including access to its airspace for humanitarian missions, direct participation in some search-and-rescue operation'), ('Target-1', 'United States')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,True,"[('Location', 'MOSCOW', 0), ('Time', 'Sept. 24', 8), ('Source-1', 'President Vladimir V. Putin', 20), ('Action-1', 'offered', 56), ('Target-1', 'United States', 68), ('Action-1', 'broad support', 82)]","[[('Source-1', 'President Vladimir V. Putin'), ('Action-1', 'offered')], [('Source-1', 'President Vladimir V. Putin'), ('Action-1', 'broad support')], [('Action-1', 'offered'), ('Target-1', 'United States')], [('Action-1', 'broad support'), ('Target-1', 'United States')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,,True,"[('Source-1', 'President Vladimir V. Putin', 20), ('Time', 'tonight', 48), ('Action-1', 'offered', 56), ('Target-1', 'United States', 68)]","[[('Source-1', 'President Vladimir V. Putin'), ('Action-1', 'offered')], [('Action-1', 'offered'), ('Target-1', 'United States')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,,,,,,
aPUBsEbt7ZQcRjd0H8k2KvHKGYZa-cameo_100.csv_57,No. 44 sentences A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,No. 44 ,A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
a7usUn7d0HBKGOvFb1nKW7xBSI2K-cameo_100.csv_51,"No. 50 sentences Hoshyar Zebari, former Iraqi foreign minister, speaks during a press conference in Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq on Aug. 8.",No. 50 ,"Hoshyar Zebari, former Iraqi foreign minister, speaks during a press conference in Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq on Aug. 8.",True,[],[],False,,,,,,,True,[],[],False,True,"[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister', 0), ('Action-1', 'speaks', 47), ('Target-1', 'press conference', 63), ('Location', 'Irbil', 83), ('Location', 'capital of the semi-autonomous Kurdish region of northern Iraq', 94), ('Time', 'Aug. 8', 160)]","[[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister'), ('Action-1', 'speaks')], [('Action-1', 'speaks'), ('Target-1', 'press conference')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,True,"[('Source-1', 'Hoshyar Zebari', 0), ('Action-1', 'speaks during a press conference', 47), ('Location', 'Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq', 83), ('Time', 'Aug. 8', 160)]","[[('Source-1', 'Hoshyar Zebari'), ('Action-1', 'speaks during a press conference')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,,True,"[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister', 0), ('Action-1', 'speaks', 47), ('Location', 'Irbil, the capital of the semi-autonomous Kurdish region of northern Iraq', 83), ('Time', 'Aug. 8', 160)]","[[('Source-1', 'Hoshyar Zebari, former Iraqi foreign minister'), ('Action-1', 'speaks')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
aW_qGP.4J2VXUCk8l7fx6aDjPaKW-cameo_100.csv_56,"No. 45 sentences Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",No. 45 ,"Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,"[('Source-1', ""Venezuela's ruling Socialist Party"", 0), ('Action-1', 'swept', 35), ('Time', 'Dec. 10', 55), ('Target-1', 'municipal elections', 63)]","[[('Source-1', ""Venezuela's ruling Socialist Party""), ('Action-1', 'swept')], [('Action-1', 'swept'), ('Target-1', 'municipal elections')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,,True,"[('Source-1', 'Socialist Party', 19), ('Action-1', 'swept', 35), ('Time', 'Dec. 10', 55), ('Action-1', 'winning', 84)]","[[('Source-1', 'Socialist Party'), ('Action-1', 'swept')], [('Source-1', 'Socialist Party'), ('Action-1', 'winning')]]",True,1-Verbal Cooperation,1-5 Engage in Dip Coop,,,,,,
arsDU3OA8Ax8qnQL2JTHB1.3KRgS-cameo_100.csv_58,No. 43 sentences PHILADELPHIA - It was supposed to be a day dedicated to working better together.,No. 43 ,PHILADELPHIA - It was supposed to be a day dedicated to working better together.,True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
axVoBNO0ZMStD6ZoVOgLRzVo.h3O-cameo_100.csv_61,"No. 40 sentences The family of Woolwich murder suspect Michael Adebolajo have broken their silence, issuing a statement in which they condemned acts of terror and religious violence and sent their ""heartfelt condolences"" to the family of Lee Rigby.",No. 40 ,"The family of Woolwich murder suspect Michael Adebolajo have broken their silence, issuing a statement in which they condemned acts of terror and religious violence and sent their ""heartfelt condolences"" to the family of Lee Rigby.",True,[],[],False,,,,,,,True,[],[],False,True,[],[],False,,,,,,,,True,[],[],False,,,,,,,,,True,[],[],False,,,,,,,,
