ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3_CAMEO_3,Action3-PentaClass_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
aWsy2qUnKzrNRQsiVkEysGEOEche-cameo_100.csv_99,"No. 47 sentences Four men have been charged with murder in connection with the slaying of a man at a marijuana grow-house near Hayward in February, authorities said Friday.",No. 47 ,"Four men have been charged with murder in connection with the slaying of a man at a marijuana grow-house near Hayward in February, authorities said Friday.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
a0YoUjXjtQcqTQNxt9GYoPHTriM4-cameo_100.csv_97,"No. 75 sentences NEW YORK (Reuters) - Bruce Springsteen was fined $500 on Wednesday after the rock 'n' roll legend pleaded guilty to a charge of consuming alcohol at a federally run New Jersey beach in November, and prosecutors dropped drunken driving and",No. 75 ,"NEW YORK (Reuters) - Bruce Springsteen was fined $500 on Wednesday after the rock 'n' roll legend pleaded guilty to a charge of consuming alcohol at a federally run New Jersey beach in November, and prosecutors dropped drunken driving and",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aXtIzpYCym.iISnbmm8NuBQUJIkq-cameo_100.csv_49,"No. 89 sentences Since coming to power in June of last year, Philippine President Rodrigo Duterte has become one of Asia's most controversial leaders for his strongman politics and inflammatory statements.",No. 89 ,"Since coming to power in June of last year, Philippine President Rodrigo Duterte has become one of Asia's most controversial leaders for his strongman politics and inflammatory statements.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aJSoFDPcqdgrocDGMyj43Xkk7qky-cameo_100.csv_48,"No. 99 sentences Following the 'ice-breaking' Nawaz-Modi meeting in Ufa, Pakistan and India formally decided to resume the dialogue process between the two countries by issuing a joint communique in July this year.",No. 99 ,"Following the 'ice-breaking' Nawaz-Modi meeting in Ufa, Pakistan and India formally decided to resume the dialogue process between the two countries by issuing a joint communique in July this year.",True,"[('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Source-2', 'India', 69), ('Action-1', 'decided to resume the dialogue process', 84), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]","[[('Action-1', 'decided to resume the dialogue process'), ('Source-1', 'Pakistan')], [('Source-2', 'India'), ('Action-2', 'issuing a joint communique')], [('Source-1', 'Pakistan'), ('Action-2', 'issuing a joint communique')], [('Source-2', 'India'), ('Action-1', 'decided to resume the dialogue process')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,,,False,[],[],True,"[('Source-1', 'Nawaz', 29), ('Target-1', 'Modi', 35), ('Action-1', 'meeting', 40), ('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue', 95), ('Source-2', 'two countries', 135), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]","[[('Source-1', 'Nawaz'), ('Action-1', 'meeting')], [('Source-1', 'Nawaz'), ('Action-1', 'resume the dialogue')], [('Source-1', 'Pakistan'), ('Action-1', 'meeting')], [('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue')], [('Action-1', 'meeting'), ('Target-1', 'Modi')], [('Action-1', 'meeting'), ('Target-1', 'India')], [('Action-1', 'resume the dialogue'), ('Target-1', 'Modi')], [('Action-1', 'resume the dialogue'), ('Target-1', 'India')], [('Source-2', 'two countries'), ('Action-2', 'issuing a joint communique')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue process', 95), ('Source-2', 'two countries', 135), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]","[[('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue process')], [('Action-1', 'resume the dialogue process'), ('Target-1', 'India')], [('Source-2', 'two countries'), ('Action-2', 'issuing a joint communique')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Source-1', 'Nawaz', 29), ('Target-1', 'Modi', 35), ('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue process', 95), ('Action-1', 'issuing a joint communique', 152), ('Time', 'July this year', 182)]","[[('Source-1', 'Nawaz'), ('Action-1', 'resume the dialogue process')], [('Source-1', 'Nawaz'), ('Action-1', 'issuing a joint communique')], [('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue process')], [('Source-1', 'Pakistan'), ('Action-1', 'issuing a joint communique')], [('Action-1', 'resume the dialogue process'), ('Target-1', 'Modi')], [('Action-1', 'resume the dialogue process'), ('Target-1', 'India')], [('Action-1', 'issuing a joint communique'), ('Target-1', 'Modi')], [('Action-1', 'issuing a joint communique'), ('Target-1', 'India')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,,,,,,
auuBYpb9_YxSVddb3kwBAVvcw4hu-cameo_100.csv_50,"No. 58 sentences ISLAMABAD: In India, Congress general secretary Priyanka Gandhi Vadra says Jammu and Kashmir has been under dictatorship for the past one year.",No. 58 ,"ISLAMABAD: In India, Congress general secretary Priyanka Gandhi Vadra says Jammu and Kashmir has been under dictatorship for the past one year.",True,"[('Location', 'India', 14), ('Source-1', 'Congress general secretary', 21), ('Action-1', 'says', 70), ('Target-1', 'Jammu', 75), ('Target-2', 'Kashmir', 85), ('Action-2', 'under dictatorship', 102), ('Target-1', 'past one year', 129)]","[[('Source-1', 'Congress general secretary'), ('Action-1', 'says')], [('Target-2', 'Kashmir'), ('Action-2', 'under dictatorship')], [('Target-1', 'Jammu'), ('Action-2', 'under dictatorship')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-15 Exhibit Force Posture,,,False,[],[],True,"[('Location', 'India', 14), ('Source-1', 'Congress general secretary Priyanka Gandhi Vadra', 21), ('Action-1', 'says', 70)]","[[('Source-1', 'Congress general secretary Priyanka Gandhi Vadra'), ('Action-1', 'says')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Location', 'ISLAMABAD', 0), ('Location', 'India', 14), ('Source-1', 'Congress general secretary Priyanka Gandhi Vadra', 21), ('Action-1', 'says', 70), ('Target-2', 'Jammu and Kashmir', 75), ('Action-2', 'has been under dictatorship', 93), ('Time', 'past one year', 129)]","[[('Source-1', 'Congress general secretary Priyanka Gandhi Vadra'), ('Action-1', 'says')], [('Action-2', 'has been under dictatorship'), ('Target-2', 'Jammu and Kashmir')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-15 Exhibit Force Posture,,,True,"[('Location', 'India', 14), ('Source-1', 'Congress general secretary Priyanka Gandhi Vadra', 21), ('Action-1', 'says', 70), ('Target-2', 'Jammu', 75), ('Target-2', 'Kashmir', 85), ('Action-2', 'has been under dictatorship', 93), ('Time', 'past one year', 129)]","[[('Source-1', 'Congress general secretary Priyanka Gandhi Vadra'), ('Action-1', 'says')], [('Action-2', 'has been under dictatorship'), ('Target-2', 'Kashmir')], [('Action-2', 'has been under dictatorship'), ('Target-2', 'Jammu')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,,,,
abRtyyFZzh4O8SyqLVwfB6vVHF0m-cameo_100.csv_100,"No. 29 sentences FILE - In this Sept. 9, 2020, file photo U.S. Attorney Thomas Kirsch for the Northern District of Indiana listens during a news conference at the Dirksen Federal Building in Chicago.",No. 29 ,"FILE - In this Sept. 9, 2020, file photo U.S. Attorney Thomas Kirsch for the Northern District of Indiana listens during a news conference at the Dirksen Federal Building in Chicago.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
ar_b9PMZECNO4mt1gGXoC2F0cGmm-cameo_100.csv_43,"No. 61 sentences FATEHGARH SAHIB: A youth hailing from Khant village near Khamano town of Fategarh Sahib district, was found dead at a dairy farm in Verona district of Italy, his family said on Tuesday.",No. 61 ,"FATEHGARH SAHIB: A youth hailing from Khant village near Khamano town of Fategarh Sahib district, was found dead at a dairy farm in Verona district of Italy, his family said on Tuesday.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aW9c84qBNewTcl_CC7vWCHwQhaqO-cameo_100.csv_47,No. 31 sentences More Than A Dozen GOP State Lawmakers Attended Rally That Gave Way To Riots,No. 31 ,More Than A Dozen GOP State Lawmakers Attended Rally That Gave Way To Riots,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally', 38)]",[],True,4-Material Conflict,4-14 Protest,,,,,False,[],[],True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally That Gave Way To Riots', 38)]","[[('Source-1', 'GOP State Lawmakers'), ('Action-1', 'Attended Rally That Gave Way To Riots')]]",True,4-Material Conflict,4-14 Protest,,,,,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally', 38), ('Target-1', 'That Gave Way To Riots', 53)]","[[('Source-1', 'GOP State Lawmakers'), ('Action-1', 'Attended Rally')], [('Action-1', 'Attended Rally'), ('Target-1', 'That Gave Way To Riots')]]",True,4-Material Conflict,4-14 Protest,,,,,True,"[('Source-1', 'GOP State Lawmakers', 18), ('Action-1', 'Attended Rally', 38)]","[[('Source-1', 'GOP State Lawmakers'), ('Action-1', 'Attended Rally')]]",True,1-Verbal Cooperation,1-4 Consult,,,,,,
aFTh8u0IAhIfaoBwgMSfBHrGgic0-cameo_100.csv_46,No. 1 sentences U.S. Associate Justice Ruth Bader Ginsburg was hospitalized Thursday evening after she became ill following treatment for an iron deficiency.,No. 1 ,U.S. Associate Justice Ruth Bader Ginsburg was hospitalized Thursday evening after she became ill following treatment for an iron deficiency.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
a3EzdBAERoOXb3NAg7Y2KG1lX4py-cameo_100.csv_95,"No. 8 sentences U.S. public health officials, psychiatrists, grieving parents, outraged former patients and others are addressing the most bitterly divisive question in psychiatry: Do the drugs that doctors prescribe to relieve depression make some people more likely to c",No. 8 ,"U.S. public health officials, psychiatrists, grieving parents, outraged former patients and others are addressing the most bitterly divisive question in psychiatry: Do the drugs that doctors prescribe to relieve depression make some people more likely to c",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
