ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,1_Relevant_2,Action1-PentaClass_2,Action1_CAMEO_2,Action2-PentaClass_2,Action2_CAMEO_2,Action3-PentaClass_2,Action3_CAMEO_2,anncomplete_3,entities_3,relations_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action2-PentaClass_4,Action2_CAMEO_4,Action1-PentaClass_4,Action1_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4
ajk_B_cq8JCrXkEqm4CnwyQZE8fe-cameo_200.csv_1,"No. 125 sentences Tsunami Update: Turning from Rescue to Cleanup NPR's Joe Palca talks with NPR's Michael Sullivan, reporting from Jakarta, Indonesia, about rescue and cleanup efforts in the wake of Sunday's tsunami.",No. 125 ,"Tsunami Update: Turning from Rescue to Cleanup NPR's Joe Palca talks with NPR's Michael Sullivan, reporting from Jakarta, Indonesia, about rescue and cleanup efforts in the wake of Sunday's tsunami.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
a1aZbpX3dnTH5SE_o65OIOCWDZEm-cameo_200.csv_2,No. 193 sentences The upcoming congress will see five of the seven Politburo Standing Committee members retire.,No. 193 ,The upcoming congress will see five of the seven Politburo Standing Committee members retire.,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
a8js4E0s034FHNcltRaxUFtiJcc0-cameo_200.csv_3,"No. 199 sentences COLUMBIA, Mo. (AP) -- With thousands of students returning to college this week, St. Louis is tightening restrictions for many places where they might socialize in an effort to slow the spread of the coronavirus.",No. 199 ,"COLUMBIA, Mo. (AP) -- With thousands of students returning to college this week, St. Louis is tightening restrictions for many places where they might socialize in an effort to slow the spread of the coronavirus.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
a.VE0I6r3Hh6r6P5KM_6leqGaR98-cameo_200.csv_4,"No. 101 sentences In April 2011, the state's news agency, the Government Communication and Information System (GCIS), published its social-media guidelines.",No. 101 ,"In April 2011, the state's news agency, the Government Communication and Information System (GCIS), published its social-media guidelines.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
a6x51_ZU5x06RY9i_7TBkFCIQfE8-cameo_200.csv_5,No. 102 sentences A Chinese court says former Interpol President Meng Hongwei has confessed to accepting more than $2 million in bribes and expressed regret,No. 102 ,A Chinese court says former Interpol President Meng Hongwei has confessed to accepting more than $2 million in bribes and expressed regret,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aTN5rhm9MjWyNsseUNa4NgcMCj9u-cameo_200.csv_6,No. 132 sentences Health officials say winter flu is just starting to show up in the U.S. while swine flu infections continue to wane.,No. 132 ,Health officials say winter flu is just starting to show up in the U.S. while swine flu infections continue to wane.,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aeuDUI7ZZjkZElkDB64oHTATpoKC-cameo_200.csv_7,"No. 184 sentences President Donald Trump speaks to reporters as he departs the White House en route to Paris from Washington, November 9, 2018.",No. 184 ,"President Donald Trump speaks to reporters as he departs the White House en route to Paris from Washington, November 9, 2018.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
a3RMGtDme7nq7t3dEEvnRvzX2sNy-cameo_200.csv_8,"No. 174 sentences SEOUL, Nov. 26 (Xinhua) -- South Korea's ICT ministry decided Monday to inspect all telecommunication facilities after a fire paralyzed communication devices and Internet services in a large part of the capital, according to local media reports.",No. 174 ,"SEOUL, Nov. 26 (Xinhua) -- South Korea's ICT ministry decided Monday to inspect all telecommunication facilities after a fire paralyzed communication devices and Internet services in a large part of the capital, according to local media reports.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aEW9yQQbuRyf.Cqo3mGl4XicYqjG-cameo_200.csv_9,"No. 171 sentences  A municipal fire department in Virginia is investigating a complaint by an African American mother that a white firefighter refused to provide ice for her 11-year-old son who was having a nosebleed, an alleged action that the mother claims was ""a raci",No. 171 ," A municipal fire department in Virginia is investigating a complaint by an African American mother that a white firefighter refused to provide ice for her 11-year-old son who was having a nosebleed, an alleged action that the mother claims was ""a raci",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
ayL2xeTPrahAbUcXaslTitVkCo2G-cameo_200.csv_10,"No. 190 sentences WASHINGTON, Dec. 9 (UPI) -- A new report on Iraq's insurgency says the fighters gain most of their intelligence from media reports, word of mouth and infiltration into the coalition and Iraqi government.",No. 190 ,"WASHINGTON, Dec. 9 (UPI) -- A new report on Iraq's insurgency says the fighters gain most of their intelligence from media reports, word of mouth and infiltration into the coalition and Iraqi government.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aHlq__Nt1vX2jwdZzWHIOUSQk2Ei-cameo_200.csv_11,"No. 192 sentences Manuel Camacho Solis, a former stalwart of Mexico's ruling Institutional Revolutionary Party, or PRI, resigned from the party to work toward creating a centrist coalition.",No. 192 ,"Manuel Camacho Solis, a former stalwart of Mexico's ruling Institutional Revolutionary Party, or PRI, resigned from the party to work toward creating a centrist coalition.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aO3Kv96H6olKkQAL9qt.ZOaaQ03C-cameo_200.csv_12,"No. 191 sentences Amid Protests, Christopher Columbus Statues Take Flak In Boston And Richmond, Va.",No. 191 ,"Amid Protests, Christopher Columbus Statues Take Flak In Boston And Richmond, Va.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
av233TDv54WXg1taAu4UC4bpO7Ka-cameo_200.csv_13,"No. 140 sentences Police have met community leaders and relatives of Mark Duggan, the man whose shooting by armed officers was ruled lawful on Wednesday.",No. 140 ,"Police have met community leaders and relatives of Mark Duggan, the man whose shooting by armed officers was ruled lawful on Wednesday.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aoGYDnvT54zhq7C4FOZBruijrpUO-cameo_200.csv_14,No. 134 sentences It is a long time since a government came up with a giveaway budget on the scale of that presented to parliament by Rishi Sunak: a PS30bn stimulus package designed to demonstrate that the age of austerity is well and truly over.,No. 134 ,It is a long time since a government came up with a giveaway budget on the scale of that presented to parliament by Rishi Sunak: a PS30bn stimulus package designed to demonstrate that the age of austerity is well and truly over.,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aH3v_xAA5z9aY9bZMrD5aGBK0f3G-cameo_200.csv_15,"No. 117 sentences The Trump administration has unveiled a new Africa policy focused on combating the ""predatory"" practices of China and Russia, and ending what it calls ""indiscriminate assistance"" and ""unproductive, unsuccessful and unaccountable"" UN peacekeeping missions.",No. 117 ,"The Trump administration has unveiled a new Africa policy focused on combating the ""predatory"" practices of China and Russia, and ending what it calls ""indiscriminate assistance"" and ""unproductive, unsuccessful and unaccountable"" UN peacekeeping missions.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
acUU0oruymK_SyyrEnn0LErgtCb4-cameo_200.csv_16,No. 173 sentences At least six suspects have been arrested during last week as Grassy Park police conducted operations in the precinct.,No. 173 ,At least six suspects have been arrested during last week as Grassy Park police conducted operations in the precinct.,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aACqv0sr6TkCXVTG39F3Z9HIPZzG-cameo_200.csv_17,"No. 183 sentences The trial of 11 suspected members of a far-right ""terror"" group has begun in the German city of Stuttgart.",No. 183 ,"The trial of 11 suspected members of a far-right ""terror"" group has begun in the German city of Stuttgart.",FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
aPC.6ihpjApLaj9vgXY_yTiobcb8-cameo_200.csv_18,No. 197 sentences Cape Town - A total of 89 children were shot dead on the Cape Flats between February 2010 and December 2015 with firearms stolen by former police colonel Christiaan Prinsloo.,No. 197 ,Cape Town - A total of 89 children were shot dead on the Cape Flats between February 2010 and December 2015 with firearms stolen by former police colonel Christiaan Prinsloo.,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
axVxp8ffFW_LnBaD8yUBSqLp08uG-cameo_200.csv_19,No. 149 sentences Presumptive Democratic presidential nominee Joe Biden participated in a virtual event hosted by UnidosUS Action Fund President and CEO Janet Murguia to discuss the November election and its importance for the Latino community.,No. 149 ,Presumptive Democratic presidential nominee Joe Biden participated in a virtual event hosted by UnidosUS Action Fund President and CEO Janet Murguia to discuss the November election and its importance for the Latino community.,FALSE,[],[],,,,,,,,FALSE,[],[],,,,,,,,FALSE,[],[],FALSE,[],[],,,,,,,
